"pathway" "pval" "padj" "ES" "NES" "nMoreExtreme" "size" "leadingEdge"
"1" "CERVERA_SDHB_TARGETS_2" 0.0010366991499067 0.0827630248523229 0.98974254351567 1.4736824814842 4 2 "C2"
"2" "WANG_MLL_TARGETS" 0.0010366991499067 0.0827630248523229 0.98974254351567 1.4736824814842 4 2 "C2"
"3" "ABE_VEGFA_TARGETS_30MIN" 0.00364004044489383 0.0827630248523229 0.998558962452966 1.32628473599516 17 1 "C2"
"4" "BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_A" 0.00364004044489383 0.0827630248523229 0.998558962452966 1.32628473599516 17 1 "C2"
"5" "CHEBOTAEV_GR_TARGETS_DN" 0.00364004044489383 0.0827630248523229 0.998558962452966 1.32628473599516 17 1 "C2"
"6" "FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN" 0.00364004044489383 0.0827630248523229 0.998558962452966 1.32628473599516 17 1 "C2"
"7" "GRUETZMANN_PANCREATIC_CANCER_UP" 0.00364004044489383 0.0827630248523229 0.998558962452966 1.32628473599516 17 1 "C2"
"8" "JI_CARCINOGENESIS_BY_KRAS_AND_STK11_DN" 0.00364004044489383 0.0827630248523229 0.998558962452966 1.32628473599516 17 1 "C2"
"9" "MARKEY_RB1_ACUTE_LOF_DN" 0.00364004044489383 0.0827630248523229 0.998558962452966 1.32628473599516 17 1 "C2"
"10" "ONKEN_UVEAL_MELANOMA_UP" 0.00364004044489383 0.0827630248523229 0.998558962452966 1.32628473599516 17 1 "C2"
"11" "RAY_TUMORIGENESIS_BY_ERBB2_CDC25A_UP" 0.00364004044489383 0.0827630248523229 0.998558962452966 1.32628473599516 17 1 "C2"
"12" "ROSS_AML_WITH_MLL_FUSIONS" 0.00364004044489383 0.0827630248523229 0.998558962452966 1.32628473599516 17 1 "C2"
"13" "VERHAAK_AML_WITH_NPM1_MUTATED_UP" 0.00364004044489383 0.0827630248523229 0.998558962452966 1.32628473599516 17 1 "C2"
"14" "ZHONG_SECRETOME_OF_LUNG_CANCER_AND_ENDOTHELIUM" 0.00364004044489383 0.0827630248523229 0.998558962452966 1.32628473599516 17 1 "C2"
