Geneid	SRR16155213
NM_001011874	6
NM_001289467	0
NM_001289466	0
NM_001289464	1
NM_001289465	0
NM_011441	0
NR_033530	0
NM_025300	0
NM_001177658	8
NM_008866	8
NM_001355712	0
NM_001159750	0
NM_011541	0
NM_001159751	16
NM_001290372	0
NM_021374	0
NM_001177795	0
NM_001310442	0
NM_133826	0
NM_009826	688
NM_001244693	0
NM_001244692	0
NM_173868	0
NR_045189	0
NR_045188	0
NM_183028	172
NM_001290392	0
NM_001290393	0
NM_001290390	0
NM_027671	0
NM_021511	115
NM_001357378	0
NM_001357376	0
NM_175236	0
NM_001357377	11
NR_015470	37
NM_178399	59
NM_173443	1138
NR_040462	0
NM_177547	0
NM_133220	10
NM_001037759	0
NR_024067	29
NR_004410	0
NM_001285425	58
NR_102282	0
NM_013715	0
NM_001277101	0
NM_026493	12
NM_001368816	5
NM_001102430	18
NM_001289497	0
NM_177834	0
NM_029525	563
NM_001033636	0
NM_001160370	0
NM_001160371	0
NM_001374633	0
NM_001310451	0
NM_001374634	0
NM_177173	0
NM_001160369	0
NM_001198566	0
NM_001198565	0
NM_172294	0
NM_172841	31
NM_001302702	27
NM_008678	24
NM_028173	568
NM_145381	3
NM_001011873	0
NM_001252192	0
NM_010164	0
NM_001310459	0
NM_010827	0
NM_001360810	0
NM_009352	0
NR_152944	0
NM_001286628	0
NM_001033288	9
NM_011291	2351
NM_133832	91
NM_001111272	0
NM_025303	0
NM_001347045	0
NM_001347044	0
NM_001271016	9
NM_025773	0
NR_073122	0
NM_001271017	0
NM_001310470	18
NM_026456	11
NM_026392	0
NM_027415	0
NM_016923	0
NM_001159711	0
NM_020604	0
NM_010267	6
NM_053191	159
NR_130314	6
NM_001356551	0
NM_031402	2
NM_001347047	0
NM_001347048	0
NR_002879	0
NR_151619	0
NM_153154	0
NM_001379074	0
NM_001379073	0
NM_009334	0
NM_001286340	0
NM_001025305	0
NM_153179	0
NR_045734	0
NR_131249	0
NR_029902	0
NR_029593	0
NM_008563	320
NM_028829	0
NM_001355122	0
NM_027974	46
NM_177409	354
NM_029398	0
NM_001290679	0
NM_010356	0
NM_001077353	0
NM_001288617	0
NR_002858	0
NM_183322	0
NM_001033904	0
NM_001310477	0
NM_023872	0
NM_001160139	0
NM_001012625	0
NM_001012624	0
NM_001012623	0
NM_183018	0
NM_053270	0
NM_025746	0
NR_029533	8
NR_029717	19
NM_001081079	0
NM_001379083	0
NM_001379082	0
NM_172124	0
NR_110972	17
NM_028534	0
NM_001290683	0
NM_001357395	3
NM_026503	42
NM_026604	30
NM_026719	0
NM_001310483	9
NM_175642	0
NM_001204913	0
NR_151583	0
NM_001081080	0
NM_011200	0
NR_136907	3
NM_008922	168
NM_008999	21
NM_001159729	0
NM_145392	18
NM_001290699	0
NM_133817	0
NM_001359275	2
NM_001359274	0
NM_001290700	118
NM_001310484	0
NM_177235	3
NM_001276764	0
NM_134448	0
NM_133833	0
NR_105861	1
NM_010081	387
NR_165804	0
NR_039562	2
NM_027159	323
NM_178601	0
NM_011206	0
NM_009355	0
NM_001360855	0
NM_001368773	2
NM_183019	3
NM_174997	0
NM_001160235	0
NM_001160236	0
NM_145516	0
NM_175421	59
NM_001357425	3
NM_015818	137
NM_198899	31
NR_105862	0
NM_153408	0
NM_145996	0
NR_033310	0
NM_001290727	0
NM_001172205	0
NM_001172206	0
NM_001290726	0
NM_001310513	0
NM_172652	0
NR_105863	0
NM_001277076	6
NM_001310517	0
NM_001013374	0
NR_168706	18
NM_033570	122
NM_001331209	0
NM_053186	0
NM_001039551	11
NM_153502	32
NM_001310521	0
NM_026241	0
NM_001310533	2
NR_132321	8
NM_001304329	0
NM_001126047	0
NM_001304330	5
NM_027957	0
NM_001126046	0
NM_001372417	0
NM_001372416	0
NM_201365	0
NM_009942	0
NM_146107	461
NM_009539	0
NM_001289766	0
NM_001289765	3
NM_001289612	0
NM_018872	135
NM_001370829	0
NM_001370828	0
NM_001290797	0
NM_030266	0
NM_001374629	0
NM_001374630	0
NM_001290799	0
NM_001290798	0
NM_172971	0
NM_198006	0
NM_026123	0
NM_001356528	0
NM_001290801	0
NM_173870	0
NR_024017	93
NM_028096	0
NM_207228	0
NM_001290720	1
NM_001290721	0
NR_110976	8
NM_001377034	0
NM_001037918	3
NM_001377031	0
NM_001377032	0
NM_001377029	0
NM_001377030	0
NM_001377033	0
NM_001356262	0
NM_026913	0
NM_027098	0
NM_001356482	0
